year,country,cluster,pop,life_expect,fertility
2000,Afghanistan,South Asia,23898198,42.129,7.4792
2000,Argentina,Americas,37497728,74.34,2.35
2000,Aruba,Americas,69539,73.451,2.124
2000,Australia,East Asia & Pacific,19164620,80.37,1.756
2000,Austria,Europe & Central Asia,8113413,78.98,1.3820000000000001
2000,Bahamas,Americas,290075,71.068,2.1111
2000,Bangladesh,South Asia,130406594,62.013,3.224
2000,Barbados,Americas,273483,75.97,1.5
2000,Belgium,Europe & Central Asia,10263618,78.32,1.638
2000,Bolivia,Americas,8152620,63.883,3.9585
2000,Brazil,Americas,175552771,71.006,2.345
2000,Canada,Americas,31278097,79.77,1.522
2000,Chile,Americas,15153450,77.86,2.0
2000,China,East Asia & Pacific,1262645000,72.028,1.7000000000000002
2000,Colombia,Americas,39685655,71.682,2.4705
2000,Costa Rica,Americas,3710558,78.123,2.2815
2000,Croatia,Europe & Central Asia,4410830,74.876,1.348
2000,Cuba,Americas,11134273,77.158,1.63
2000,Dominican Republic,Americas,8385828,70.847,2.95
2000,Ecuador,Americas,12505204,74.173,2.8175
2000,Egypt,Middle East & North Africa,70492342,69.806,3.174
2000,El Salvador,Americas,6122515,70.734,2.883
2000,Finland,Europe & Central Asia,5168595,78.37,1.754
2000,France,Europe & Central Asia,59381628,79.59,1.8833000000000002
2000,Georgia,Europe & Central Asia,4777209,70.476,1.478
2000,Germany,Europe & Central Asia,82187909,78.67,1.346
2000,Greece,Europe & Central Asia,10559110,78.256,1.2770000000000001
2000,Grenada,Americas,89312,67.746,2.429
2000,Haiti,Americas,7306302,58.137,4.0
2000,Hong Kong,East Asia & Pacific,6658720,81.495,0.9400000000000001
2000,Iceland,Europe & Central Asia,281043,80.5,1.9929999999999999
2000,India,South Asia,1007702000,62.879,3.1132
2000,Indonesia,East Asia & Pacific,206265000,68.588,2.3761
2000,Iran,Middle East & North Africa,65660289,69.451,2.124
2000,Iraq,Middle East & North Africa,22675617,57.046,4.858
2000,Ireland,Europe & Central Asia,3791690,77.783,1.9689999999999999
2000,Israel,Middle East & North Africa,5842454,79.696,2.906
2000,Italy,Europe & Central Asia,57719337,80.24,1.286
2000,Jamaica,Americas,2615467,72.047,2.628
2000,Japan,East Asia & Pacific,126699784,82.0,1.291
2000,Kenya,Sub-Saharan Africa,29985839,50.992,5.0
2000,South Korea,East Asia & Pacific,21647682,66.662,1.9173
2000,North Korea,East Asia & Pacific,47351083,77.045,1.242
2000,Lebanon,Middle East & North Africa,3578036,71.028,2.319
2000,Mexico,Americas,99926620,74.902,2.4005
2000,Netherlands,Europe & Central Asia,15907853,78.53,1.726
2000,New Zealand,East Asia & Pacific,3819762,79.11,1.964
2000,Nigeria,Sub-Saharan Africa,114306700,46.608,5.845
2000,Norway,Europe & Central Asia,4492400,79.05,1.8010000000000002
2000,Pakistan,South Asia,146342958,63.61,3.9936
2000,Peru,Americas,25979722,69.906,2.7005
2000,Philippines,East Asia & Pacific,79739825,70.303,3.5436
2000,Poland,Europe & Central Asia,38654164,74.67,1.251
2000,Portugal,Europe & Central Asia,10335597,77.29,1.454
2000,Rwanda,Sub-Saharan Africa,7507056,43.413,6.01
2000,Saudi Arabia,Middle East & North Africa,23153090,71.626,3.81
2000,South Africa,Sub-Saharan Africa,44066197,53.365,2.802
2000,Spain,Europe & Central Asia,40016081,79.78,1.287
2000,Switzerland,Europe & Central Asia,7266920,80.62,1.415
2000,Turkey,Europe & Central Asia,65666677,70.845,2.23
2000,United Kingdom,Europe & Central Asia,59522468,78.471,1.695
2000,United States,Americas,282338631,77.31,2.038
2000,Venezuela,Americas,23542649,72.766,2.723
